name,owner,pr_collected
freeCodeCamp,freeCodeCamp,True
build-your-own-x,codecrafters-io,True
awesome,sindresorhus,True
free-programming-books,EbookFoundation,True
public-apis,public-apis,True
coding-interview-university,jwasham,True
developer-roadmap,kamranahmedse,True
system-design-primer,donnemartin,True
996.ICU,996icu,True
awesome-python,vinta,True
react,facebook,True
awesome-selfhosted,awesome-selfhosted,True
project-based-learning,practical-tutorials,True
vue,vuejs,True
Python,TheAlgorithms,True
linux,torvalds,True
javascript-algorithms,trekhleb,True
tensorflow,tensorflow,True
You-Dont-Know-JS,getify,True
CS-Notes,CyC2018,True
computer-science,ossu,True
ohmyzsh,ohmyzsh,True
AutoGPT,Significant-Gravitas,True
bootstrap,twbs,True
flutter,flutter,True
vscode,microsoft,True
gitignore,github,True
Python-100-Days,jackfrued,True
the-book-of-secret-knowledge,trimstray,True
the-art-of-command-line,jlevy,True
stable-diffusion-webui,AUTOMATIC1111,True
JavaGuide,Snailclimb,True
javascript,airbnb,True
transformers,huggingface,True
awesome-go,avelino,True
ollama,ollama,True
youtube-dl,ytdl-org,True
next.js,vercel,True
Microsoft-Activation-Scripts,massgravel,True
fucking-algorithm,labuladong,True
go,golang,True
tech-interview-handbook,yangshun,True
30-seconds-of-code,Chalarangelo,True
awesome-chatgpt-prompts,f,True
react-native,facebook,True
scrcpy,Genymobile,True
PowerToys,microsoft,True
electron,electron,True
kubernetes,kubernetes,True
free-programming-books-zh_CN,justjavac,True
hello-algo,krahets,True
node,nodejs,False
d3,d3,True
axios,axios,True
yt-dlp,yt-dlp,True
three.js,mrdoob,True
langchain,langchain-ai,True
TypeScript,microsoft,False
create-react-app,facebook,True
rust,rust-lang,False
deno,denoland,True
nodebestpractices,goldbergyoni,True
HelloGitHub,521xueweihan,True
terminal,microsoft,True
angular,angular,False
excalidraw,excalidraw,True
godot,godotengine,True
material-ui,mui,False
DeepSeek-V3,deepseek-ai,True
ant-design,ant-design,True
free-for-dev,ripienaar,True
clean-code-javascript,ryanmcdermott,True
frp,fatedier,True
papers-we-love,papers-we-love,True
iptv,iptv-org,True
thefuck,nvbn,True
java-design-patterns,iluwatar,True
tauri,tauri-apps,True
Awesome-Hacking,Hack-with-Github,True
puppeteer,puppeteer,True
dify,langgenius,True
vue-element-admin,PanJiaChen,True
pytorch,pytorch,True
neovim,neovim,True
DeepSeek-R1,deepseek-ai,True
open-webui,open-webui,True
Web-Dev-For-Beginners,microsoft,True
tailwindcss,tailwindlabs,True
every-programmer-should-know,mtdvio,True
storybook,storybookjs,True
rustdesk,rustdesk,True
ui,shadcn-ui,True
nvm,nvm-sh,True
django,django,False
fastapi,fastapi,True
app-ideas,florinpop17,True
bitcoin,bitcoin,True
NextChat,ChatGPTNextWeb,True
svelte,sveltejs,True
awesome-mac,jaywcjlove,True
animate.css,animate-css,False
opencv,opencv,True
realworld,gothinkster,True
gin,gin-gonic,True
laravel,laravel,True
supabase,supabase,True
mall,macrozheng,True
whisper,openai,True
hugo,gohugoio,True
FiraCode,tonsky,True
core,home-assistant,False
mermaid,mermaid-js,True
generative-ai-for-beginners,microsoft,True
llama.cpp,ggml-org,True
v2rayN,2dust,True
models,tensorflow,False
advanced-java,doocs,False
bun,oven-sh,False
spring-boot,spring-projects,False
manim,3b1b,False
LeetCodeAnimation,MisterBooo,False
Font-Awesome,FortAwesome,False
n8n,n8n-io,False
awesome-interview-questions,DopplerHQ,False
netdata,netdata,False
json-server,typicode,False
ComfyUI,comfyanonymous,False
gpt4all,nomic-ai,False
devops-exercises,bregman-arie,False
awesome-for-beginners,MunGell,False
awesome-vue,vuejs,False
github-readme-stats,anuraghazra,False
elasticsearch,elastic,False
funNLP,fighting41love,False
vite,vitejs,False
ML-For-Beginners,microsoft,False
system-design-101,ByteByteGoHq,False
playwright,microsoft,False
hoppscotch,hoppscotch,False
code-server,coder,False
nest,nestjs,False
stable-diffusion,CompVis,False
HowToCook,Anduin2017,False
Front-End-Checklist,thedaviddias,False
moby,moby,False
screenshot-to-code,abi,False
flask,pallets,False
fzf,junegunn,False
syncthing,syncthing,False
reveal.js,hakimel,False
redis,redis,False
node,base,False
cs-video-courses,Developer-Y,False
swift,swiftlang,False
gpt_academic,binary-husky,False
d2l-zh,d2l-ai,False
awesome-react,enaqx,False
awesome-machine-learning,josephmisiti,False
grafana,grafana,False
protobuf,protocolbuffers,False
uptime-kuma,louislam,False
express,expressjs,False
Best-websites-a-programmer-should-visit,sdmg15,False
cpython,python,False
strapi,strapi,False
tesseract,tesseract-ocr,False
Ventoy,ventoy,False
Chart.js,chartjs,False
superset,apache,False
webpack,webpack,False
33-js-concepts,leonardomso,False
ansible,ansible,False
PayloadsAllTheThings,swisskyrepo,False
imgui,ocornut,False
interviews,kdn251,False
gpt4free,xtekky,False
javascript-questions,lydiahallie,False
sherlock,sherlock-project,False
obs-studio,obsproject,False
the-algorithm,twitter,False
tabby,Eugeny,False
keras,keras-team,False
immich,immich-app,False
awesome-cpp,fffaraz,False
awesome-public-datasets,awesomedata,False
caddy,caddyserver,False
openai-cookbook,openai,False
nocode,kelseyhightower,False
sway,FuelLabs,False
resume.github.com,resume,False
echarts,apache,False
AppFlowy,AppFlowy-IO,False
socket.io,socketio,False
SecLists,danielmiessler,False
cs-self-learning,PKUFlyingPig,False
scikit-learn,scikit-learn,False
Apollo-11,chrislgarry,False
awesome-scalability,binhnguyennus,False
Java,TheAlgorithms,False
redux,reduxjs,False
